Pumagitna
umiral
umisip
umiwas
umiyak
umpisang
umugnay
umulan
umunawa
umunlad
umupa
umupo
umurong
umusad
umusbong
umuwi
yumabong
yumakap
yumaman
yumanig
yumuko
yumukod
